	Groups	Means	sd	se	logFC	Compound	test	p.value	eff.size	CI.lower	CI.upper	label
14	0.1 TSBA + AA	306.054822983895	83.5809210728906	48.2554672805502	305.054822983895	X86.94.0077mz.3.75min	Welch Two Sample t-test	0.00105635210969639	-6.99290442997651	-13.0387537617236	-0.947055098229421	Effect size: -6.99
15	0.1 TSBA	-32.6104047155324	8.31133528622008	4.7985516648244	31.6104047155324	X95.43.0861mz.3.99min	Welch Two Sample t-test	0.00219217339575185	-6.40037596561842	-12.0087957940643	-0.791956137172583	Effect size: -6.4
16	0.1 TSBA + AA	32.6104047155324	11.7728559089387	6.79706152815643	31.6104047155324	X95.43.0861mz.3.99min	Welch Two Sample t-test	0.00219217339575185	-6.40037596561842	-12.0087957940643	-0.791956137172583	Effect size: -6.4
17	0.1 TSBA	-12.7514861984518	8.79808335811067	5.07957579515796	11.7514861984518	X115.73.0373mz.4.57min	Welch Two Sample t-test	0.0184356275536303	-3.28767572009399	-6.76367074989859	0.188319309710599	Effect size: -3.29
18	0.1 TSBA + AA	12.7514861984518	6.552883357643	3.78330897050341	11.7514861984518	X115.73.0373mz.4.57min	Welch Two Sample t-test	0.0184356275536303	-3.28767572009399	-6.76367074989859	0.188319309710599	Effect size: -3.29
19	0.1 TSBA	-26.9910430795404	14.1995625462939	8.19812125847774	25.9910430795404	X126.70.0875mz.5.08min	Welch Two Sample t-test	0.0221636513245145	-5.37249648749062	-10.2387870721258	-0.506205902855436	Effect size: -5.37
20	0.1 TSBA + AA	26.9910430795404	0.539774760447904	0.311639103246363	25.9910430795404	X126.70.0875mz.5.08min	Welch Two Sample t-test	0.0221636513245145	-5.37249648749062	-10.2387870721258	-0.506205902855436	Effect size: -5.37
21	0.1 TSBA	-22.2272423226954	1.9120413250179	1.10391757370077	21.2272423226954	X162.108.0587mz.6.19min	Welch Two Sample t-test	1.78559901715658e-05	-21.0283027289212	-38.0340670687388	-4.02253838910356	Effect size: -21.03
22	0.1 TSBA + AA	22.2272423226954	2.29833688363455	1.32694541845486	21.2272423226954	X162.108.0587mz.6.19min	Welch Two Sample t-test	1.78559901715658e-05	-21.0283027289212	-38.0340670687388	-4.02253838910356	Effect size: -21.03
23	0.1 TSBA	-18.7666307639734	10.3105949064982	5.95282474477189	17.7666307639734	X205.125.9539mz.7.20min	Welch Two Sample t-test	0.270311813754741	-1.18984934231148	-3.64922987260535	1.26953118798238	Effect size: -1.19
24	0.1 TSBA + AA	18.7666307639734	43.4028667773166	25.0586568174852	17.7666307639734	X205.125.9539mz.7.20min	Welch Two Sample t-test	0.270311813754741	-1.18984934231148	-3.64922987260535	1.26953118798238	Effect size: -1.19
25	0.1 TSBA	-56.5693503089514	2.49472693590407	1.44033126799883	55.5693503089514	X217.103.0354mz.7.42min	Welch Two Sample t-test	0.00426869351669502	-11.0526050616421	-20.1966293158803	-1.90858080740399	Effect size: -11.05
26	0.1 TSBA + AA	56.5693503089514	14.2598533999883	8.23293019908784	55.5693503089514	X217.103.0354mz.7.42min	Welch Two Sample t-test	0.00426869351669502	-11.0526050616421	-20.1966293158803	-1.90858080740399	Effect size: -11.05
27	0.1 TSBA	-46.789569316661	3.93511947014074	2.27194228537909	45.789569316661	X303.61.0258mz.9.71min	Welch Two Sample t-test	0.0176224293154127	-5.62252980630824	-10.6670105189217	-0.578049093694745	Effect size: -5.62
28	0.1 TSBA + AA	46.789569316661	23.2063287707789	13.3981801627121	45.789569316661	X303.61.0258mz.9.71min	Welch Two Sample t-test	0.0176224293154127	-5.62252980630824	-10.6670105189217	-0.578049093694745	Effect size: -5.62
29	0.1 TSBA	22.0249590212825	3.88089922451402	2.24063821197098	-23.0249590212825	X351.71.0873mz.11.50min	Welch Two Sample t-test	0.00014497603214589	12.5926667192385	2.24830468462007	22.9370287538569	Effect size: 12.59
30	0.1 TSBA + AA	-22.0249590212825	3.06781430732305	1.77120341615675	-23.0249590212825	X351.71.0873mz.11.50min	Welch Two Sample t-test	0.00014497603214589	12.5926667192385	2.24830468462007	22.9370287538569	Effect size: 12.59
31	0.1 TSBA	-24.8346542637615	3.30558657462254	1.90848129868794	23.8346542637615	X482.135.0629mz.17.22min	Welch Two Sample t-test	0.055917077283524	-3.17799517895427	-6.5878320054052	0.231841647496655	Effect size: -3.18
32	0.1 TSBA + AA	24.8346542637615	21.854351474448	12.6176157067373	23.8346542637615	X482.135.0629mz.17.22min	Welch Two Sample t-test	0.055917077283524	-3.17799517895427	-6.5878320054052	0.231841647496655	Effect size: -3.18
33	0.1 TSBA	-17.2619199402974	0.179769467644291	0.103789950536507	16.2619199402975	X492.135.0610mz.17.54min	Welch Two Sample t-test	0.0367385813991145	-4.13945793069188	-8.15772575833781	-0.121190103045957	Effect size: -4.14
34	0.1 TSBA + AA	17.2619199402975	11.7934309604361	6.80894053967706	16.2619199402975	X492.135.0610mz.17.54min	Welch Two Sample t-test	0.0367385813991145	-4.13945793069188	-8.15772575833781	-0.121190103045957	Effect size: -4.14
35	0.1 TSBA	-20.5158600362083	9.40174848784223	5.42810202030887	19.5158600362083	X497.107.0320mz.17.64min	Welch Two Sample t-test	0.00507021035334374	-4.59830080043282	-8.92519031647424	-0.271411284391401	Effect size: -4.6
36	0.1 TSBA + AA	20.5158600362083	8.41756391110958	4.85988279	19.5158600362083	X497.107.0320mz.17.64min	Welch Two Sample t-test	0.00507021035334374	-4.59830080043282	-8.92519031647424	-0.271411284391401	Effect size: -4.6
37	0.1 TSBA	-18.5728942831177	4.19895789489941	2.42426947093608	17.5728942831176	X498.121.0452mz.17.67min	Welch Two Sample t-test	0.00883561445366221	-5.29622093601583	-10.108500385114	-0.483941486917632	Effect size: -5.3
38	0.1 TSBA + AA	18.5728942831176	8.98615896601404	5.18816129800898	17.5728942831176	X498.121.0452mz.17.67min	Welch Two Sample t-test	0.00883561445366221	-5.29622093601583	-10.108500385114	-0.483941486917632	Effect size: -5.3
39	0.1 TSBA	-32.6724805545841	4.0752546742528	2.35284938319613	31.6724805545841	X503.135.0632mz.17.73min	Welch Two Sample t-test	0.0205062178867822	-4.97084546431357	-9.55473479560123	-0.386956133025912	Effect size: -4.97
40	0.1 TSBA + AA	32.6724805545841	18.1385824167085	10.4723154410049	31.6724805545841	X503.135.0632mz.17.73min	Welch Two Sample t-test	0.0205062178867822	-4.97084546431357	-9.55473479560123	-0.386956133025912	Effect size: -4.97
41	0.1 TSBA	-21.8087764925404	2.44535146353339	1.41182432573425	20.8087764925404	X506.149.0836mz.17.83min	Welch Two Sample t-test	0.0170088598046164	-5.44944759883116	-10.3703965815746	-0.52849861608769	Effect size: -5.45
42	0.1 TSBA + AA	21.8087764925404	11.0521180260351	6.38094331744688	20.8087764925404	X506.149.0836mz.17.83min	Welch Two Sample t-test	0.0170088598046164	-5.44944759883116	-10.3703965815746	-0.52849861608769	Effect size: -5.45
43	0.1 TSBA	-55.08868152221	14.4776610005737	8.35868147591735	54.08868152221	X603.246.0973mz.22.48min	Welch Two Sample t-test	0.0151879406884241	-4.40800242613128	-8.60573932118628	-0.210265531076288	Effect size: -4.41
44	0.1 TSBA + AA	55.08868152221	32.247208665754	18.6179346037871	54.08868152221	X603.246.0973mz.22.48min	Welch Two Sample t-test	0.0151879406884241	-4.40800242613128	-8.60573932118628	-0.210265531076288	Effect size: -4.41
